repository_full_name,Contributors,Stars,created_date,description,language,Commit,Size,archived,accessible
kaylode/shrec22-pothole,2.0,4.0,2022-02-15T10:51:47Z,HCMUS Team at SHREC22: Crack and Pothole Segmentation,Python,137.0,35880.0,False,True
adevinta/graph-asset-inventory-api,3.0,3.0,2021-08-09T05:51:02Z,Security Graph - Asset Inventory API,Python,128.0,139.0,False,True
tensorflow/cloud,25.0,343.0,2020-02-10T18:51:59Z,The TensorFlow Cloud repository provides APIs that will allow to easily go from debugging and training your Keras and TensorFlow code in a local environment to distributed training in the cloud.,Python,574.0,1855.0,False,True
wandb/client-ng,12.0,15.0,2020-01-31T15:19:49Z,Experimental wandb CLI and Python API - See Experimental section below.,Python,605.0,22499.0,True,True
neptune-ai/neptune-client,29.0,371.0,2019-02-11T11:25:57Z,:ledger: Experiment tracking tool and model registry,Python,1386.0,8791.0,False,True
tensorflow/tensorboard,30.0,6140.0,2017-05-15T20:08:07Z,TensorFlow's Visualization Toolkit,TypeScript,5388.0,120908.0,False,True
broadinstitute/keras-rcnn,16.0,545.0,2017-04-25T13:32:06Z,Keras package for region-based convolutional neural networks (RCNNs),Python,838.0,5321.0,False,True
geyang/jaynes-starter-kit,6.0,14.0,2019-06-06T15:46:16Z,"a starter-kit for jaynes, the cloud-agnostic launch library",Python,214.0,2252.0,False,True
flyteorg/flytekit,30.0,123.0,2019-08-21T17:38:38Z,Extensible Python SDK for developing Flyte tasks and workflows. Simple to get started and learn and highly extensible. ,Python,997.0,15635.0,False,True
oblivia-simplex/berbalang,5.0,8.0,2019-03-20T16:15:11Z,WIP: evolutionary explorations of weird machines,Rust,379.0,140292.0,False,True
felipecode/coiltraine,10.0,207.0,2019-01-28T10:52:52Z,Training framework for conditional imitation learning ,Python,916.0,4926.0,False,True
aws-samples/amazon-neptune-samples,23.0,330.0,2018-04-05T22:37:22Z,Samples and documentation for using the Amazon Neptune graph database service,JavaScript,256.0,52047.0,False,True
craftmine1000/jukebox-saveopt,8.0,11.0,2022-03-17T15:31:07Z,,Python,165.0,2762.0,False,True
craftmine1000/jukebox-saveopt,8.0,11.0,2022-03-17T15:31:07Z,,Python,165.0,2762.0,False,True
dunkelhaus/cancerTherapy,5.0,5.0,2018-01-18T01:39:50Z,To use deep learning to identify patients whose tumor DNA mutations “look similar to” other tumors for which treatments are effective.,HTML,434.0,174178.0,False,True
PenroseZ/vitis-ai,27.0,2.0,2021-01-26T09:34:05Z,,C++,941.0,1114823.0,False,True
neptune-ai/neptune-contrib,12.0,26.0,2019-01-22T15:41:44Z,This library is a location of the LegacyLogger for PyTorch Lightning.,Python,201.0,25501.0,True,True
