repository_full_name,number_contributor,number_stars,created_date,description,language,number_commit,sloc,archived,accessible,num_stars,num_forks,num_contributor,num_commit,Contributors,Stars,Commit,Size
bainro/garage,30.0,15.0,2018-07-24T17:29:40Z,Open source platform for the complete machine learning lifecycle,Python,817.0,4732.0,False,True,,,,,,,,
matech96/FederatedLighting,30.0,4029.0,2014-03-31T18:05:29Z,"Sacred is a tool to help you configure, organize, log and reproduce experiments developed at IDSIA.",Python,334.0,6168.0,False,True,,,,,,,,
wwydmanski/RLinWiFi,30.0,7202.0,2019-11-23T18:40:48Z,"An open-source, low-code machine learning library in Python",Jupyter Notebook,162.0,262111.0,False,True,,,,,,,,
nsaura/ML,5.0,485.0,2022-10-31T03:02:21Z,"Templating language written for Stable Diffusion workflows, available as an extension for the Automatic1111 WebUI.",Python,501.0,16117.0,False,True,,,,,,,,
c-w-m/hgf-datasets,2.0,17.0,2020-04-01T12:05:34Z,A fully tensorized recurrent neural network using tensor-train decomposition,Python,1418.0,5355.0,,False,,,,,,,,
onucharles/tensorized-rnn,2.0,3.0,2019-11-25T06:45:15Z,,Python,100.0,178.0,False,True,,,,,,,,
padre-lab-eu/pypads,3.0,2.0,2021-10-25T02:23:03Z,MVFNet in Paddle,Python,715.0,2531.0,False,True,,,,,,,,
mengsong16/garage,2.0,3.0,2022-07-06T01:06:26Z,,Python,1218.0,22919.0,False,True,,,,,,,,
jsicheng/gatmc,30.0,21854.0,2020-01-23T18:35:18Z,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",Python,143.0,39949.0,False,True,,,,,,,,
davidtangGT/MOF_color,4.0,4.0,2022-09-13T16:22:58Z,Measure the diameter of fibers 10x faster,Jupyter Notebook,114.0,11481.0,False,True,,,,,,,,
ramon-oliveira/uncertainty-quality,2.0,4.0,2022-08-16T08:54:26Z,,Python,135.0,308.0,False,True,,,,,,,,
kundajelab/bpnet,2.0,5.0,2020-01-16T17:03:23Z,,Python,135.0,48.0,False,True,,,,,,,,
jamesborg46/robust_rewards_from_preferences,3.0,3.0,2020-03-03T16:50:20Z,,Python,112.0,149916.0,False,True,,,,,,,,
sasibhushan3/NwQM_EMNLP,2.0,10.0,2020-02-24T02:01:00Z,,Python,161.0,131733.0,False,True,,,,,,,,
Victorvone/braintumorclassification,2.0,83.0,2019-10-30T00:37:06Z,,Python,233.0,30.0,False,True,,,,,,,,
shubhang8/DeepSSL,3.0,10.0,2019-04-05T19:09:18Z,Code For Unsupervised Adversarial Image Inpaiting paper,Python,135.0,139.0,False,True,,,,,,,,
